id,company_name,company_sector,company_size_est,city,decision_maker_name,title,linkedin_url,email_guess,confidence,notes,email_status,email_valid
1,Bitrise,IT / Mobile DevOps,51-250,Budapest,Barnabas Birmacher,CEO & Co-founder,https://www.linkedin.com/in/birmacher/,b.birmacher@bitrise.io,HIGH,Confirmed co-founder. Raised $83.5M. Tech-forward - AI adoption likely high.,VALID,YES
2,Prezi,SaaS / Presentation,101-250,Budapest,Peter Arvai,CEO & Co-founder,https://www.linkedin.com/in/peterarvai/,p.arvai@prezi.com,HIGH,Confirmed founder/CEO. US-HU hybrid company.,INVALID,NO
3,NNG LLC,Automotive Software,201-500,Budapest,Laszlo Kishonti,CEO,https://www.linkedin.com/in/laszlokishonti/,,MEDIUM,Also founder of AImotive. Large B2B tech firm.,NO_EMAIL,NO
4,LogiNet Systems,IT Services,51-100,Budapest,TBV - HR Director,HR igazgató,https://www.linkedin.com/company/loginet-systems/,,MEDIUM,Hungarian IT services company - ideal target.,NO_EMAIL,NO
5,MiniCRM,SaaS / CRM,50-100,Budapest,TBV - CEO,Ügyvezető,https://www.linkedin.com/company/minicrm/,,MEDIUM,Hungarian SaaS company - knowledge workers.,NO_EMAIL,NO
6,Shoprenter,E-commerce SaaS,51-150,Debrecen,TBV - CEO,Ügyvezető,https://www.linkedin.com/company/shoprenter/,,MEDIUM,Fast-growing HU e-commerce platform.,NO_EMAIL,NO
7,Gránit Bank,Banking / Fintech,101-300,Budapest,TBV - HR igazgató,HR igazgató,https://www.linkedin.com/company/granitbank/,,MEDIUM,Digital-first bank. AI early adopter.,NO_EMAIL,NO
8,DoclerHolding,Digital Media,501-1000,Luxembourg/Budapest,TBV - HR igazgató,HR igazgató,https://www.linkedin.com/company/docler-holding/,,LOW,Large HU-origin tech group. HU office 100-200+.,NO_EMAIL,NO
9,Qneiform,HR Tech / Recruiting,11-50,Budapest,Thomas Percy,CEO & Founder,https://www.linkedin.com/in/thomaspercy/,,HIGH,Confirmed founder. €3.8M raised. HR-adjacent = easy sell.,NO_EMAIL,NO
10,PastPay,B2B Fintech,11-50,Budapest,Benjamin Berényi,CEO & Co-founder,https://www.linkedin.com/in/benjaminberenyi/,,HIGH,Confirmed co-founder. €17.1M raised. Fintech = tech-forward.,NO_EMAIL,NO
11,EVOPRO,Engineering / IT,201-500,Budapest,TBV - HR igazgató,HR igazgató,https://www.linkedin.com/company/evopro/,,MEDIUM,Hungarian engineering and IT company.,NO_EMAIL,NO
12,Kürt Group,IT Security / Consulting,101-200,Budapest,TBV - Ügyvezető,Ügyvezető,https://www.linkedin.com/company/kürt-group/,,MEDIUM,IT consulting - knowledge worker heavy.,NO_EMAIL,NO
13,Comnica,Telecom / CCaaS,51-200,Budapest,TBV - CEO,Ügyvezető,https://www.linkedin.com/company/comnica/,,MEDIUM,Contact center solutions - AI is core topic.,NO_EMAIL,NO
14,Graphisoft,Architecture CAD Software,201-500,Budapest,TBV - HR igazgató,HR igazgató,https://www.linkedin.com/company/graphisoft/,,MEDIUM,Global HU software company. Knowledge workers.,NO_EMAIL,NO
15,BPiON,BPO / HR / Accounting,101-300,Budapest,TBV - HR igazgató,HR igazgató,https://www.linkedin.com/company/bpion/,,MEDIUM,HR/accounting outsourcing - AI tools are key.,NO_EMAIL,NO
16,Hype & Hyper,Digital Agency,51-100,Budapest,TBV - Ügyvezető,Ügyvezető,https://www.linkedin.com/company/hype-hyper/,,MEDIUM,Creative/digital agency - content creation AI users.,NO_EMAIL,NO
17,Supercharge,Product Design / Tech,101-200,Budapest,TBV - HR igazgató,HR igazgató,https://www.linkedin.com/company/supercharge/,,MEDIUM,Digital product agency. Design/dev team.,NO_EMAIL,NO
18,Evosoft Hungary,IT / Embedded Systems,201-500,Budapest,TBV - HR igazgató,HR igazgató,https://www.linkedin.com/company/evosoft/,,MEDIUM,Siemens subsidiary. Engineering-heavy.,NO_EMAIL,NO
19,Tresorit,SaaS / Cloud Security,101-200,Budapest,TBV - CEO,CEO,https://www.linkedin.com/company/tresorit/,,MEDIUM,HU-origin cloud security SaaS. Tech-forward.,NO_EMAIL,NO
20,LogMeIn / GoTo Hungary,SaaS / Remote Work,201-500,Budapest,TBV - HR igazgató,HR igazgató,https://www.linkedin.com/company/goto/,,MEDIUM,Global remote work SaaS. Large HU office.,NO_EMAIL,NO
21,Ericsson Hungary,Telecom / Technology,501-1000,Budapest,TBV - HR igazgató,HR igazgató,https://www.linkedin.com/company/ericsson-hungary/,,MEDIUM,Major telecom tech employer in HU.,NO_EMAIL,NO
22,Nokia Hungary,Telecom / Technology,501-1000,Budapest,TBV - HR igazgató,HR igazgató,https://www.linkedin.com/company/nokia/,,MEDIUM,Significant HU engineering office.,NO_EMAIL,NO
23,EPAM Systems Hungary,IT Services,201-500,Budapest,TBV - HR igazgató,HR igazgató,https://www.linkedin.com/company/epam-systems/,,MEDIUM,Global IT services. Large HU delivery center.,NO_EMAIL,NO
24,Lufthansa Systems Hungary,IT / Aviation,201-500,Budapest,TBV - HR igazgató,HR igazgató,https://www.linkedin.com/company/lufthansa-systems/,,MEDIUM,IT for aviation. HU is key delivery hub.,NO_EMAIL,NO
25,4iG Nyrt,Telecom / IT,501-1000,Budapest,TBV - HR igazgató,HR igazgató,https://www.linkedin.com/company/4ig/,,MEDIUM,Growing Hungarian telecom conglomerate.,NO_EMAIL,NO
26,Magyar Telekom,Telecom,1000+,Budapest,TBV - L&D vezető,Learning & Development Manager,https://www.linkedin.com/company/magyartelekom/,,LOW,Large corp - L&D department owns training budget.,NO_EMAIL,NO
27,Telenor Hungary,Telecom,501-1000,Budapest,TBV - HR igazgató,HR igazgató,https://www.linkedin.com/company/telenor-hungary/,,MEDIUM,Telecom with large office workforce.,NO_EMAIL,NO
28,Erste Bank Hungary,Banking,501-1000,Budapest,TBV - HR igazgató,HR igazgató,https://www.linkedin.com/company/erste-bank-hungary/,,MEDIUM,Major retail bank. Large office staff.,NO_EMAIL,NO
29,Raiffeisen Bank Hungary,Banking,501-1000,Budapest,TBV - HR igazgató,HR igazgató,https://www.linkedin.com/company/raiffeisen-bank-hungary/,,MEDIUM,Regional bank. Focus on digital transformation.,NO_EMAIL,NO
30,UniCredit Hungary,Banking,501-1000,Budapest,TBV - HR igazgató,HR igazgató,https://www.linkedin.com/company/unicredit/,,LOW,Large EU bank. HU subsidiary.,NO_EMAIL,NO
31,OTP Ingatlan,Real Estate / Finance,101-250,Budapest,TBV - Ügyvezető,Ügyvezető,https://www.linkedin.com/company/otp-ingatlan/,,MEDIUM,OTP Group subsidiary. Office workers.,NO_EMAIL,NO
32,Credigen,Consumer Finance,101-250,Budapest,TBV - HR igazgató,HR igazgató,https://www.linkedin.com/company/credigen-bank/,,MEDIUM,Consumer lending. Budapest HQ.,NO_EMAIL,NO
33,K&H Bank Hungary,Banking,501-1000,Budapest,TBV - L&D vezető,Learning & Development Manager,https://www.linkedin.com/company/kh-bank/,,MEDIUM,KBC Group subsidiary. Active in digital.,NO_EMAIL,NO
34,CIB Bank,Banking,501-1000,Budapest,TBV - HR igazgató,HR igazgató,https://www.linkedin.com/company/cib-bank/,,MEDIUM,Intesa Sanpaolo subsidiary in HU.,NO_EMAIL,NO
35,Allianz Hungary,Insurance,501-1000,Budapest,TBV - HR igazgató,HR igazgató,https://www.linkedin.com/company/allianz-hungary/,,MEDIUM,Large insurer. Office-heavy workforce.,NO_EMAIL,NO
36,Generali Hungary,Insurance,301-500,Budapest,TBV - HR igazgató,HR igazgató,https://www.linkedin.com/company/generali-hungary/,,MEDIUM,European insurer. Budapest office.,NO_EMAIL,NO
37,UNION Vienna Insurance,Insurance,201-400,Budapest,TBV - HR igazgató,HR igazgató,https://www.linkedin.com/company/union-biztosito/,,MEDIUM,Insurance company. Mid-size HU operation.,NO_EMAIL,NO
38,Groupama Hungary,Insurance,201-400,Budapest,TBV - HR igazgató,HR igazgató,https://www.linkedin.com/company/groupama/,,MEDIUM,French insurer HU subsidiary.,NO_EMAIL,NO
39,Aegon Hungary,Insurance,201-400,Budapest,TBV - HR igazgató,HR igazgató,https://www.linkedin.com/company/aegon/,,MEDIUM,Part of ASR Group. Office workforce.,NO_EMAIL,NO
40,Coface Hungary,Credit Insurance / Risk,51-150,Budapest,TBV - Ügyvezető,Ügyvezető,https://www.linkedin.com/company/coface/,,MEDIUM,B2B credit insurance. Analyst-heavy team.,NO_EMAIL,NO
41,Deloitte Hungary,Professional Services,201-500,Budapest,TBV - L&D vezető,Learning & Development Manager,https://www.linkedin.com/company/deloitte-magyarorszag/,,MEDIUM,Big4. Already AI-aware - good early adopter.,NO_EMAIL,NO
42,PwC Hungary,Professional Services,201-400,Budapest,TBV - L&D vezető,Learning & Development Manager,https://www.linkedin.com/company/pwc-magyarorszag/,,MEDIUM,Big4. Learning budget significant.,NO_EMAIL,NO
43,KPMG Hungary,Professional Services,201-400,Budapest,TBV - L&D vezető,Learning & Development Manager,https://www.linkedin.com/company/kpmg-hungary/,,MEDIUM,Big4 consulting.,NO_EMAIL,NO
44,EY Hungary,Professional Services,201-400,Budapest,TBV - L&D vezető,Learning & Development Manager,https://www.linkedin.com/company/ey-magyarorszag/,,MEDIUM,Big4. Active in AI advisory.,NO_EMAIL,NO
45,McKinsey Hungary,Management Consulting,51-100,Budapest,TBV - HR igazgató,HR igazgató,https://www.linkedin.com/company/mckinsey/,,LOW,Small Budapest office of global firm.,NO_EMAIL,NO
46,Accenture Hungary,IT / Consulting,201-500,Budapest,Tünde Tóth,Country Managing Director,https://www.linkedin.com/in/tünde-tóth/,,HIGH,Confirmed new Country MD (2024). Consulting & AI.,NO_EMAIL,NO
47,IBM Hungary,IT / Technology,201-500,Budapest,TBV - HR igazgató,HR igazgató,https://www.linkedin.com/company/ibm/,,MEDIUM,Global tech. HU office with knowledge workers.,NO_EMAIL,NO
48,SAP Hungary,Enterprise Software,201-500,Budapest,TBV - HR igazgató,HR igazgató,https://www.linkedin.com/company/sap/,,MEDIUM,Global ERP. HU dev/support center.,NO_EMAIL,NO
49,Oracle Hungary,Enterprise Software,101-300,Budapest,TBV - HR igazgató,HR igazgató,https://www.linkedin.com/company/oracle/,,MEDIUM,Global tech. HU tech center.,NO_EMAIL,NO
50,Microsoft Hungary,Technology,201-500,Budapest,TBV - HR igazgató,HR igazgató,https://www.linkedin.com/company/microsoft/,,LOW,Copilot already push internally - but employees need external AI workflow training.,NO_EMAIL,NO
51,Vodafone Hungary,Telecom,501-1000,Budapest,TBV - HR igazgató,HR igazgató,https://www.linkedin.com/company/vodafone-hungary/,,MEDIUM,Large telecom. Corporate workforce.,NO_EMAIL,NO
52,DHL Express Hungary,Logistics,201-500,Budapest,TBV - HR igazgató,HR igazgató,https://www.linkedin.com/company/dhl-express/,,MEDIUM,Logistics leader. Office + ops staff.,NO_EMAIL,NO
53,GLS Hungary,Logistics / Parcel,201-500,Budapest,TBV - HR igazgató,HR igazgató,https://www.linkedin.com/company/gls-group/,,MEDIUM,European parcel logistics HU operation.,NO_EMAIL,NO
54,Waberer's International,Logistics / Transport,501-1000,Budapest,TBV - HR igazgató,HR igazgató,https://www.linkedin.com/company/waberers/,,MEDIUM,Listed transport company. Digital transformation push.,NO_EMAIL,NO
55,Posta Elszámoló Központ,Finance / Payments,101-250,Budapest,TBV - Ügyvezető,Ügyvezető,https://www.linkedin.com/company/posta-elsz%C3%A1mol%C3%B3-k%C3%B6zpont/,,MEDIUM,Financial clearing center.,NO_EMAIL,NO
56,Antenna Hungária,IT / Broadcasting,201-500,Budapest,TBV - HR igazgató,HR igazgató,https://www.linkedin.com/company/antenna-hungaria/,,MEDIUM,Broadcasting infra. Tech-heavy workforce.,NO_EMAIL,NO
57,T-Systems Hungary,IT / Managed Services,501-1000,Budapest,TBV - HR igazgató,HR igazgató,https://www.linkedin.com/company/t-systems-hungary/,,MEDIUM,Deutsche Telekom IT subsidiary.,NO_EMAIL,NO
58,Deutsche Telekom IT Solutions,IT Services,1000+,Budapest,Belley Éva,HR igazgató,https://www.linkedin.com/in/belley-éva/,,HIGH,Confirmed HR director (HR Portal 2025 top list). Very large IT employer.,NO_EMAIL,NO
